Capitulo	Texto
"La Placita de la Recoleta 
"	"A Francisco Mendoza y Canaval
SALIENDO DE LA CALLE DE BELÉN, la mejor y más aristocrática de las calles de la capital, residencia de las familias de buen tono: Soyer y Cabero, Álvarez Calderón, CanavalSoria, Alayza, Irribarren, etc., etc., entre las cuales se ha venido a colar, no se sabe cómo, una fabrica de cigarrillos, la del gordo judío alemán Cohen, propietario de las afamadas marcas “Garibaldi”, “Almirante Grau” y “Huáscar”, y “como quien se va” a la exposición, se llega a un trozo de peña colocado en la esquina a manera de guardacantón y sobre el que todos los chicos del barrio cada vez que pasan junto a él, tienen la ineludible obligación de dar un airoso “salto peruano con patada” o sin ella"
"La Placita de la Recoleta 
"	"Después ”como quien tuerce a mano derecha, se toma” una callecita llamada Tambo de Belén formada de un lado por la pared de la iglesia de Nuestra Señora de Belén y una serie de tiendecitas con “altillo”, todas iguales, en las que se vende en unas carne, en otras ponche de leche y chocolate “con canela encima”; del otro lado más tiendas. A la mitad de la cuadra está chingana de don Cesar Barbieri “capitano de lungo corso” viejo de lobo mar, siempre amable, atento y bueno. Vieja remembranza de sus andares la chingana tiene en lo alto un letrero en el que está su nombre: “La California”. Al pasar por ella se oye el canto de unos negros “mistrels” transeúntes de pura casualidad en Lima, a quienes al pasar atrapó el viejo, que dice:
“Que me voy a Taboga
Si ñaña
Con los remo de popa
Si ñaña
Chumbay, pobre de mi
Chumbay, amor pa ti
Mientras que al lado en el largo callejón de “Las Pulgas” se oponen a los negros marineros los negros criollos cantando:
“Yo tengo un chiquitito
Que se llama Nicolás,
 Tan chiquito y tan gordito
Se parece a su papa,
Y si quieres verlo
Ven a Lima y lo verás”
O sino:
“El mes de febrero 
Se casa Montero
Con una señora
De gorrasombrero"
"La Placita de la Recoleta 
"	"Arriba Montero
Y abajo Montero
Que compró zapatos
Para un año entero"
"La Placita de la Recoleta 
"	"Gritan los mocitos
Por todo el “Cercau”
¡Traigan a Montero
Pa´ hacerlo “Caucau!”
Muestras inapreciables del folklore limeño que con la gracia de Segura y Asciclo Villarán, lleva a la jarana jirones de nuestra vida política. Más allá de la chingana en la vieja fonda, ña Lucianita despacha las viandas criollas por excelencia: los sabrosos cebiches de bonito y de conchas, el olluquito con charqui, el caucau, la carne en adobo, la huatia y la jalea de pescado con mote, colocados en una rústica mesita junto a la entrada, despiden un riquísimo olor que el viento se encarga de repartir por todo el barrio; aquí podemos saborear aún el “Zanguito de ñaju y la mazamorra de reciento”"
"La Placita de la Recoleta 
"	La plazuela se presenta la vista: al frente una columna como de cinco metros de altura sostienen una ramada, bajo el cual está el Mercado con puestos de carne, papas, legumbres, telas... Más al centro de la plazuela hay una pila, clásica en todas las plazas de Lima, una pila de aguas cantarinas en donde se provee el negro aguador ño José Santos, jinete en un burro y propietario de dos barrilito que hace su negocio suministrando el claro liquido a toda la vecindad carente de los novísimos caños de cobre Kemish y Melson
"La Placita de la Recoleta 
"	Al frente levántase el “Hospicio para mujeres vergonzantesV” según reza la placa que está en su fachada que la caridad de D. Bartolomé Manrique construyera en 1866, y que sirve de albergue a señoras pobres que han sido de “lo mejor” a quienes derrumbaron económicamente las guerras civiles y la guerra nacional. Nombres ilustres resuenan bajo el portalito acogedor. Es el Hospicio un refugio de viejas tradiciones, es el sitio especial para saber desde la manera de elaborar un guiso criollo ya olvidado, hasta la genealogía de todos los habitantes de Lima, y el lugar único donde se encuentra una novena del Padre eterno ( o “Vénzalo todo su poder”) o un terciario de San Francisco de Paula
"La Placita de la Recoleta 
"	"Percibese en el Hospicio cierto ambiente de casa grande que recuerda a las señoras recogidas propias que la desgracia les arrebató. En el zaguán se alzan dos estatuas de mármol, la Fe y la Esperanza; su compañera la Caridad, queda al fondo del patio. Bajadas las gradas una pila de bronce rodeada de jardincillo alegra y perfuma el establecimiento. Un pasadizo a la izquierda lleva a la capilla espaciosa con palanganas media naranja y capulino y con recuerdos delicados que alguna limeña antigua relata al instante; “Don Bartolomé, el fundador, quiso que la capilla se levantase en el mismo sitio en que sepultaron el cadáver de Fray Martín y muchas de nuestras amigas se disputaron regalarnos todo lo necesario: alfombras, melodio, candelabros, efigies y ornamentera bien provista de vestiduras y vasos sagrados...”
La siguiente casita tiene, por Pascua, en la ventana de reja, un gran nacimiento cuyos cerros que llegan al techo causan asombro en la chiquillería. Por sus laderas de tela encolada y pintada pasan marciales los bomberos de “Lima”, zaqueo ve pasar al Señor camino de Jerusalén y a su lado hay varias pilitas con agua corriente. Los dueños convidan a los visitantes vasos de chicha pintorescamente llamados “orines del Niño” y ésos agradecidos por la atención depositan una moneda en el platillo puesto con ese fin sobre una columnita de madera"
"La Placita de la Recoleta 
"	Más allá en la casa solariega que hace esquina y va hasta la calle de la Cruz, viven la familia Gómez y la poetiza de raza Manuela Villarán de Placencia
"La Placita de la Recoleta 
"	A la izquierda en primer término se halla la entrada al callejón de “La Venturosa” que tiene fama no muy por el obscuro color de sus moradores, y por sus relaciones con gente “non sancta”. En el interior hay una capillita en la que se da culto a un Señor Crucificado, de misteriosa aparición en la acequia que atraviesa el solar. Encomendada de cuidar de la limpieza del pequeño santuario es “misia” Angelita, feliz mortal que se encontró en el turbio acequión una vela enrollada; la pintura de una imagen de Jesús en la Cruz, no profanada por las aguas. Mitad tambo de hacienda, mitad callejón de suburbio, “La Venturosa” tiene su propio y peculiar aspecto no imitado en ningún otro lugar de Lima siglo XIX. En los días de fiesta misia Angelita hace repicar la campanilla de la capilla mientras los “quitasueños” entonan su música de vidrios rotos y los cohetes de arranque revientan en lo alto después de caer con vertiginosa velocidad, al mismo tiempo que dos negras viejas se adelantan para recoger la pitita quemada, “que quita como con la mano” el reumatismo, amarrándose con ella la parte adolorida
"La Placita de la Recoleta 
"	Siguen a esta callejón unas casitas en que viven el notable músico don Pedro Fernández, cetrino y corpulento, amable y decidor, que viene siendo hace cuarenta años el profesor de baile por excelencia, músico inspirado compone las melodías que sus discípulos bailarán (en todo los salones de lima resuenan “Le daré esta flor”, “Me entusiasmo bailando”, “Al fin solos”, y tantos otros valses, polcas y mazurcas tan caras a la juventud limeña); don Manuel de Odría y Zalduondo, y la negra “ña pancha” vendedora de dulces y mazamorras
"La Placita de la Recoleta 
"	"Encontramos en el callejón llamado de Chiquinquirá y la portera sale a recibirnos, nos enseña el viejo lienzo devoción de la casa, nos cuenta su aparición y los portentosos milagros de la Madre de Dios en la advocación de Chiquinquirá. Al salir depositamos en la mano de nuestra guía un mugriento billete de a sol y en agradecimiento ella nos obsequia con un curioso folletito:
“Modo de rezar
la novena y culto devoto
a la Rosa del Cielo
María Santísima
del Rosario
en su milagrosa imagen
de Chiquinquirá
del Nuevo Reino de Granada"
"La Placita de la Recoleta 
"	"A cuidado y solicitud del
Padre nuestro
Fr. Domingo Barragán del sagrado orden de predicadores"
"La Placita de la Recoleta 
"	"Con las licencias
Necesarias
En Santa Fe de Bogotá"
"La Placita de la Recoleta 
"	"Reimpreso en Lima: por su devoto mayor
Domo en la Real Casa de Niños Expósitos
Año de 1816”
que contiene unos interesantes versos del gusto de la época a manera de gozos y cuyo estribillo es:
“Pues sois de los pecadores,
El consuelo y la alegría
¡Oh Madre clemente y pía!
Escuchad nuestros clamores”"
"La Placita de la Recoleta 
"	En el lado derecho está una chingana “La Botijita” con una muestra de madera representando un barrilito colgado delante de la puerta, tiendas de chinos donde se vende té con pan “bien calientito” por una moneda de níkel, y en la esquina una suntuosa residencia con preciosas rejas de bronce, ocultas bajo una capa de pintura verde desde la ocupación de Lima por el ejército chileno
