Frecuencia;Patrón
263;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
165;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
165;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
140;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
130;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
123;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
110;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
100;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
96;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
95;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
85;['NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
85;['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
82;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET']
81;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
78;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
76;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
75;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
74;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN']
69;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP']
68;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
67;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
67;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
66;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
65;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
65;['DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']
65;['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']
65;['ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN']
65;['ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
64;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
64;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
63;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
62;['VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
60;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
59;['NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP']
58;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
58;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
56;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
56;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
54;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ']
53;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET']
52;['DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN']
52;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
51;['ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
51;['VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
50;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
49;['NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP']
48;['NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']
48;['DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
47;['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']
46;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
46;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
45;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
44;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
43;['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']
43;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET']
42;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN']
41;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ']
41;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
41;['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET']
40;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP']
40;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP']
39;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP']
39;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
38;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN']
38;['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
38;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']
38;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
38;['NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP']
37;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
37;['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET']
37;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
37;['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP']
36;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
36;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
36;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
34;['ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']
33;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
33;['PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
33;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN']
33;['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
32;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
32;['DET', 'NOUN', 'CONJ', 'DET', 'NOUN', 'PUNCT']
31;['ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']
31;['NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN']
31;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP']
31;['DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB']
31;['DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN']
31;['ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN']
30;['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
30;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN']
29;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP']
29;['VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
29;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
29;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN']
29;['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN']
29;['ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
29;['ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
28;['ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
28;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
28;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
28;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
27;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']
27;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']
27;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
26;['NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']
26;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB']
26;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADJ']
26;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP']
26;['NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']
